window_start,search_hashtag,n_tweets,mean_sentiment,ci_low,ci_high,composite_signal
2026-08-03 09:00:00+00:00,banknifty,1,-1.0,-1.0,-1.0,-2.3494
2026-08-03 10:00:00+00:00,banknifty,3,0.0528,-0.9167,1.0222,0.172
2026-08-03 11:00:00+00:00,banknifty,3,0.0118,-0.9017,0.9252,0.0395
2026-08-03 12:00:00+00:00,banknifty,2,0.0195,-1.3664,1.4054,0.0575
2026-08-03 13:00:00+00:00,banknifty,1,1.0,1.0,1.0,2.2815
2026-08-03 14:00:00+00:00,banknifty,1,-1.0,-1.0,-1.0,-2.2718
2026-08-03 15:00:00+00:00,banknifty,1,-1.0,-1.0,-1.0,-2.268
2026-08-03 16:00:00+00:00,banknifty,1,-1.0,-1.0,-1.0,-2.3396
2026-08-03 17:00:00+00:00,banknifty,4,-0.2883,-1.095,0.5183,-1.0478
2026-08-03 18:00:00+00:00,banknifty,3,0.0017,-0.9148,0.9182,0.0056
2026-08-03 19:00:00+00:00,banknifty,2,0.5138,-0.1791,1.2068,1.5144
2026-08-03 20:00:00+00:00,banknifty,5,-0.293,-0.9404,0.3545,-1.1228
2026-08-03 21:00:00+00:00,banknifty,2,-0.0186,-1.4045,1.3674,-0.0557
2026-08-03 22:00:00+00:00,banknifty,4,0.5432,-0.2809,1.3673,1.9549
2026-08-03 23:00:00+00:00,banknifty,1,-1.0,-1.0,-1.0,-2.3452
2026-08-04 00:00:00+00:00,banknifty,3,0.3259,-0.2049,0.8566,1.083
2026-08-04 01:00:00+00:00,banknifty,2,0.392,-0.5319,1.316,1.1407
2026-08-04 02:00:00+00:00,banknifty,1,-0.3333,-0.3333,-0.3333,-0.7893
2026-08-04 03:00:00+00:00,banknifty,1,1.0,1.0,1.0,2.3227
2026-08-04 04:00:00+00:00,banknifty,5,-0.0324,-0.8215,0.7567,-0.1242
2026-08-04 05:00:00+00:00,banknifty,1,1.0,1.0,1.0,2.2136
2026-08-04 07:00:00+00:00,banknifty,1,-0.3333,-0.3333,-0.3333,-0.6961
2026-08-03 09:00:00+00:00,intraday,1,-1.0,-1.0,-1.0,-2.34
2026-08-03 10:00:00+00:00,intraday,2,0.3167,-0.6073,1.2406,0.9448
2026-08-03 12:00:00+00:00,intraday,4,0.7481,0.322,1.1743,2.7173
2026-08-03 13:00:00+00:00,intraday,3,-0.4441,-0.9204,0.0322,-1.5015
2026-08-03 14:00:00+00:00,intraday,2,1.0,1.0,1.0,2.9875
2026-08-03 15:00:00+00:00,intraday,1,-0.3333,-0.3333,-0.3333,-0.6816
2026-08-03 16:00:00+00:00,intraday,5,0.4535,-0.2211,1.1281,1.7371
2026-08-03 17:00:00+00:00,intraday,3,-0.3302,-0.8625,0.2021,-1.1085
2026-08-03 18:00:00+00:00,intraday,1,-1.0,-1.0,-1.0,-2.2727
2026-08-03 19:00:00+00:00,intraday,2,-1.0,-1.0,-1.0,-2.9272
2026-08-03 20:00:00+00:00,intraday,1,0.0,0.0,0.0,0.0
2026-08-03 21:00:00+00:00,intraday,1,-1.0,-1.0,-1.0,-2.3409
2026-08-03 23:00:00+00:00,intraday,1,0.0,0.0,0.0,0.0
2026-08-04 00:00:00+00:00,intraday,1,1.0,1.0,1.0,2.3587
2026-08-04 01:00:00+00:00,intraday,1,-1.0,-1.0,-1.0,-2.3788
2026-08-04 02:00:00+00:00,intraday,5,-0.8111,-1.1546,-0.4676,-3.1238
2026-08-04 03:00:00+00:00,intraday,4,0.2396,-0.5825,1.0617,0.8674
2026-08-04 04:00:00+00:00,intraday,4,0.1586,-0.6857,1.0028,0.5735
2026-08-04 05:00:00+00:00,intraday,4,-0.0083,-0.989,0.9723,-0.0302
2026-08-04 06:00:00+00:00,intraday,2,1.0,1.0,1.0,2.9745
2026-08-04 07:00:00+00:00,intraday,4,0.5017,0.0114,0.992,1.8277
2026-08-04 08:00:00+00:00,intraday,1,1.0,1.0,1.0,2.2678
2026-08-03 08:00:00+00:00,nifty50,1,-1.0,-1.0,-1.0,-2.3165
2026-08-03 09:00:00+00:00,nifty50,2,1.0,1.0,1.0,2.9411
2026-08-03 10:00:00+00:00,nifty50,2,0.0326,-1.3533,1.4185,0.0964
2026-08-03 13:00:00+00:00,nifty50,3,0.3303,-0.7379,1.3984,1.1139
2026-08-03 14:00:00+00:00,nifty50,2,-0.6777,-1.1397,-0.2158,-2.0084
2026-08-03 15:00:00+00:00,nifty50,2,-0.4979,-1.1908,0.1951,-1.4848
2026-08-03 16:00:00+00:00,nifty50,4,0.0272,-0.6606,0.7151,0.0993
2026-08-03 18:00:00+00:00,nifty50,1,0.0,0.0,0.0,0.0
2026-08-03 19:00:00+00:00,nifty50,1,-1.0,-1.0,-1.0,-2.3771
2026-08-03 20:00:00+00:00,nifty50,4,-0.0039,-0.7052,0.6974,-0.0141
2026-08-03 21:00:00+00:00,nifty50,5,0.4478,-0.2337,1.1292,1.6921
2026-08-03 22:00:00+00:00,nifty50,1,1.0,1.0,1.0,2.2507
2026-08-03 23:00:00+00:00,nifty50,3,-0.6642,-1.1988,-0.1295,-2.1972
2026-08-04 00:00:00+00:00,nifty50,4,0.1358,-0.7088,0.9804,0.4897
2026-08-04 01:00:00+00:00,nifty50,2,0.3572,-0.5668,1.2811,1.047
2026-08-04 04:00:00+00:00,nifty50,3,-0.312,-1.3889,0.7649,-1.0324
2026-08-04 05:00:00+00:00,nifty50,1,-0.3333,-0.3333,-0.3333,-0.7621
2026-08-04 06:00:00+00:00,nifty50,1,1.0,1.0,1.0,2.1037
2026-08-04 07:00:00+00:00,nifty50,7,-0.1481,-0.7595,0.4633,-0.617
2026-08-04 08:00:00+00:00,nifty50,1,1.0,1.0,1.0,2.3292
2026-08-04 09:00:00+00:00,nifty50,1,-1.0,-1.0,-1.0,-2.3525
2026-08-03 09:00:00+00:00,sensex,1,1.0,1.0,1.0,2.3673
2026-08-03 10:00:00+00:00,sensex,2,0.4928,-0.2002,1.1857,1.463
2026-08-03 11:00:00+00:00,sensex,3,0.6801,0.1517,1.2085,2.285
2026-08-03 12:00:00+00:00,sensex,1,0.0,0.0,0.0,0.0
2026-08-03 14:00:00+00:00,sensex,2,-1.0,-1.0,-1.0,-2.9269
2026-08-03 17:00:00+00:00,sensex,2,0.5012,-0.1917,1.1942,1.5114
2026-08-03 18:00:00+00:00,sensex,4,0.2448,-0.5716,1.0613,0.8837
2026-08-03 19:00:00+00:00,sensex,3,-0.6823,-1.2095,-0.155,-2.2999
2026-08-03 20:00:00+00:00,sensex,4,0.2494,-0.5656,1.0643,0.9032
2026-08-03 21:00:00+00:00,sensex,3,-0.6818,-1.2092,-0.1545,-2.3018
2026-08-03 23:00:00+00:00,sensex,4,0.7438,0.3151,1.1725,2.6896
2026-08-04 00:00:00+00:00,sensex,1,-1.0,-1.0,-1.0,-2.303
2026-08-04 01:00:00+00:00,sensex,2,0.5021,-0.1909,1.1951,1.5029
2026-08-04 02:00:00+00:00,sensex,3,-0.6579,-1.1951,-0.1208,-2.2192
2026-08-04 04:00:00+00:00,sensex,2,0.323,-0.601,1.2469,0.9687
2026-08-04 05:00:00+00:00,sensex,5,-0.0505,-0.8422,0.7412,-0.1942
2026-08-04 06:00:00+00:00,sensex,3,-0.0063,-0.934,0.9213,-0.0214
2026-08-04 07:00:00+00:00,sensex,1,-1.0,-1.0,-1.0,-2.3565
2026-08-04 08:00:00+00:00,sensex,1,0.0,0.0,0.0,0.0
