tweet_id,username,timestamp,content_raw,content_clean,mentions,hashtags,cashtags,likes,retweets,replies,engagement_score,source,search_hashtag,scraped_at
synthetic-intraday-375,bankniftywolf,2026-08-04T09:07:28.664009+00:00,Gap up expected in TATAMOTORS after strong global cues. Long term buy. #intraday,Gap up expected in TATAMOTORS after strong global cues. Long term buy. #intraday,[],['intraday'],[],1836,78,124,2116,synthetic,intraday,2026-08-04T09:47:55.934360+00:00
synthetic-nifty50-63,traderraj,2026-08-04T09:38:33.095341+00:00,"nifty50 looking strong today, broke resistance with volume. Target 1870. #nifty50","nifty50 looking strong today, broke resistance with volume. Target 1870. #nifty50",[],['nifty50'],[],4664,76,155,4971,synthetic,nifty50,2026-08-04T09:47:55.928469+00:00
synthetic-intraday-305,dalalstreet_desi,2026-08-03T13:04:33.504958+00:00,"intraday range-bound today, waiting for a breakout either side. #intraday","intraday range-bound today, waiting for a breakout either side. #intraday",[],['intraday'],[],3649,777,201,5404,synthetic,intraday,2026-08-04T09:47:55.933031+00:00
synthetic-banknifty-513,aparna.invests,2026-08-03T12:14:39.107087+00:00,"banknifty looking strong today, broke resistance with volume. Target 5990. #banknifty @bankniftywolf","banknifty looking strong today, broke resistance with volume. Target 5990. #banknifty @bankniftywolf",['bankniftywolf'],['banknifty'],[],1074,694,215,2677,synthetic,banknifty,2026-08-04T09:47:55.936731+00:00
synthetic-banknifty-528,options_ojasvi,2026-08-04T04:31:53.538676+00:00,"Sold TCS today, downside looks likely given weak breadth. #banknifty","Sold TCS today, downside looks likely given weak breadth. #banknifty",[],['banknifty'],[],4110,278,87,4753,synthetic,banknifty,2026-08-04T09:47:55.936974+00:00
synthetic-intraday-392,niftybull_99,2026-08-03T12:29:20.677628+00:00,"Market update: intraday flat, participants cautious before RBI policy. #intraday @bankniftywolf","Market update: intraday flat, participants cautious before RBI policy. #intraday @bankniftywolf",['bankniftywolf'],['intraday'],[],2748,568,5,3889,synthetic,intraday,2026-08-04T09:47:55.934644+00:00
synthetic-nifty50-42,traderraj,2026-08-04T00:02:55.426472+00:00,"Watching HDFCBANK closely ahead of results, no clear direction yet. #nifty50","Watching HDFCBANK closely ahead of results, no clear direction yet. #nifty50",[],['nifty50'],[],1907,173,299,2552,synthetic,nifty50,2026-08-04T09:47:55.928077+00:00
synthetic-nifty50-41,niftybull_99,2026-08-03T21:54:46.934055+00:00,"nifty50 bullish structure intact, support held well at open. Tejji ka mood hai! #nifty50 @quant_karan","nifty50 bullish structure intact, support held well at open. Tejji ka mood hai! #nifty50 @quant_karan",['quant_karan'],['nifty50'],[],1646,508,258,2920,synthetic,nifty50,2026-08-04T09:47:55.928051+00:00
synthetic-sensex-260,sensexqueen,2026-08-03T23:29:54.290080+00:00,"ADANIENT hit all time high, momentum still building. #sensex #intraday","ADANIENT hit all time high, momentum still building. #sensex #intraday",[],['sensex' 'intraday'],[],4235,155,184,4729,synthetic,sensex,2026-08-04T09:47:55.932226+00:00
synthetic-sensex-163,traderraj,2026-08-04T02:44:09.706683+00:00,"sensex bearish, mandi ka mahaul hai, better to stay in cash. #sensex","sensex bearish, mandi ka mahaul hai, better to stay in cash. #sensex",[],['sensex'],[],4685,301,140,5427,synthetic,sensex,2026-08-04T09:47:55.930443+00:00
synthetic-intraday-311,quant_karan,2026-08-03T17:09:05.862666+00:00,"intraday bullish structure intact, support held well at open. Tejji ka mood hai! #intraday","intraday bullish structure intact, support held well at open. Tejji ka mood hai! #intraday",[],['intraday'],[],2035,778,223,3814,synthetic,intraday,2026-08-04T09:47:55.933094+00:00
synthetic-sensex-154,quant_karan,2026-08-03T19:38:17.680676+00:00,Anyone tracking TCS today? Volumes look average. #sensex @traderraj,Anyone tracking TCS today? Volumes look average. #sensex @traderraj,['traderraj'],['sensex'],[],447,1019,290,2775,synthetic,sensex,2026-08-04T09:47:55.930325+00:00
synthetic-intraday-351,sensexqueen,2026-08-04T03:11:38.141382+00:00,"intraday bearish, mandi ka mahaul hai, better to stay in cash. #intraday","intraday bearish, mandi ka mahaul hai, better to stay in cash. #intraday",[],['intraday'],[],3688,1026,209,5949,synthetic,intraday,2026-08-04T09:47:55.933884+00:00
synthetic-sensex-182,niftybull_99,2026-08-03T11:44:11.017164+00:00,"sensex range-bound today, waiting for a breakout either side. #sensex","sensex range-bound today, waiting for a breakout either side. #sensex",[],['sensex'],[],2243,359,105,3066,synthetic,sensex,2026-08-04T09:47:55.930740+00:00
synthetic-intraday-329,options_ojasvi,2026-08-03T19:25:53.456835+00:00,"intraday breakdown below key support, booking losses. SL hit. #intraday","intraday breakdown below key support, booking losses. SL hit. #intraday",[],['intraday'],[],1878,178,87,2321,synthetic,intraday,2026-08-04T09:47:55.933474+00:00
synthetic-sensex-190,bankniftywolf,2026-08-04T05:42:08.218061+00:00,"sensex looking strong today, broke resistance with volume. Target 6540. #sensex","sensex looking strong today, broke resistance with volume. Target 6540. #sensex",[],['sensex'],[],3249,336,9,3930,synthetic,sensex,2026-08-04T09:47:55.930898+00:00
synthetic-sensex-202,sensexqueen,2026-08-04T02:43:49.186408+00:00,"Lower circuit hit in ICICIBANK, panic selling visible. #sensex #banknifty @options_ojasvi","Lower circuit hit in ICICIBANK, panic selling visible. #sensex #banknifty @options_ojasvi",['options_ojasvi'],['sensex' 'banknifty'],[],1042,845,52,2784,synthetic,sensex,2026-08-04T09:47:55.931154+00:00
synthetic-nifty50-129,quant_karan,2026-08-03T16:39:51.047461+00:00,"Market update: nifty50 flat, participants cautious before RBI policy. #nifty50","Market update: nifty50 flat, participants cautious before RBI policy. #nifty50",[],['nifty50'],[],2426,948,11,4333,synthetic,nifty50,2026-08-04T09:47:55.929829+00:00
synthetic-nifty50-123,traderraj,2026-08-04T00:34:26.330978+00:00,"Profit booking in HDFCBANK, correction due after the recent rally. #nifty50","Profit booking in HDFCBANK, correction due after the recent rally. #nifty50",[],['nifty50'],[],3506,1116,256,5994,synthetic,nifty50,2026-08-04T09:47:55.929763+00:00
synthetic-nifty50-7,chartguru_cs,2026-08-03T13:47:34.157555+00:00,"nifty50 breakdown below key support, booking losses. SL hit. #nifty50","nifty50 breakdown below key support, booking losses. SL hit. #nifty50",[],['nifty50'],[],3160,710,11,4591,synthetic,nifty50,2026-08-04T09:47:55.927306+00:00
synthetic-intraday-393,aparna.invests,2026-08-03T17:45:07.150970+00:00,"Watching TCS closely ahead of results, no clear direction yet. #intraday","Watching TCS closely ahead of results, no clear direction yet. #intraday",[],['intraday'],[],1176,985,49,3195,synthetic,intraday,2026-08-04T09:47:55.934660+00:00
synthetic-sensex-187,bankniftywolf,2026-08-03T18:46:33.201223+00:00,"RELIANCE hit all time high, momentum still building. #sensex #nifty50","RELIANCE hit all time high, momentum still building. #sensex #nifty50",[],['sensex' 'nifty50'],[],2555,512,284,3863,synthetic,sensex,2026-08-04T09:47:55.930861+00:00
synthetic-intraday-276,niftybull_99,2026-08-04T00:51:17.633252+00:00,"Bought TCS on the dip, expecting upper circuit tomorrow. #intraday","Bought TCS on the dip, expecting upper circuit tomorrow. #intraday",[],['intraday'],[],2818,1103,284,5308,synthetic,intraday,2026-08-04T09:47:55.932507+00:00
synthetic-nifty50-66,traderraj,2026-08-04T08:47:09.480272+00:00,"Bought TATAMOTORS on the dip, expecting upper circuit tomorrow. #nifty50","Bought TATAMOTORS on the dip, expecting upper circuit tomorrow. #nifty50",[],['nifty50'],[],3440,166,131,3903,synthetic,nifty50,2026-08-04T09:47:55.928543+00:00
synthetic-intraday-334,niftybull_99,2026-08-04T04:24:25.919230+00:00,"HDFCBANK hit all time high, momentum still building. #intraday #sensex","HDFCBANK hit all time high, momentum still building. #intraday #sensex",[],['intraday' 'sensex'],[],2995,842,47,4726,synthetic,intraday,2026-08-04T09:47:55.933591+00:00
synthetic-nifty50-3,niftybull_99,2026-08-03T19:38:43.212677+00:00,"Sold INFY today, downside looks likely given weak breadth. #nifty50 @options_ojasvi","Sold INFY today, downside looks likely given weak breadth. #nifty50 @options_ojasvi",['options_ojasvi'],['nifty50'],[],4066,1088,218,6460,synthetic,nifty50,2026-08-04T09:47:55.927191+00:00
synthetic-banknifty-433,dalalstreet_desi,2026-08-03T23:13:05.209824+00:00,"ICICIBANK hit all time high, momentum still building. #banknifty #nifty50 @chartguru_cs","ICICIBANK hit all time high, momentum still building. #banknifty #nifty50 @chartguru_cs",['chartguru_cs'],['banknifty' 'nifty50'],[],3226,192,26,3636,synthetic,banknifty,2026-08-04T09:47:55.935339+00:00
synthetic-nifty50-9,aparna.invests,2026-08-03T15:52:31.158161+00:00,"Lower circuit hit in TCS, panic selling visible. #nifty50 #intraday","Lower circuit hit in TCS, panic selling visible. #nifty50 #intraday",[],['nifty50' 'intraday'],[],3116,472,77,4137,synthetic,nifty50,2026-08-04T09:47:55.927333+00:00
synthetic-intraday-331,niftybull_99,2026-08-04T08:12:05.701632+00:00,"RELIANCE hit all time high, momentum still building. #intraday #banknifty @dalalstreet_desi","RELIANCE hit all time high, momentum still building. #intraday #banknifty @dalalstreet_desi",['dalalstreet_desi'],['intraday' 'banknifty'],[],1431,621,175,2848,synthetic,intraday,2026-08-04T09:47:55.933546+00:00
synthetic-banknifty-516,quant_karan,2026-08-03T14:18:19.585991+00:00,"RELIANCE hit all time high, momentum still building. #banknifty #sensex","RELIANCE hit all time high, momentum still building. #banknifty #sensex",[],['banknifty' 'sensex'],[],934,657,170,2418,synthetic,banknifty,2026-08-04T09:47:55.936801+00:00
synthetic-sensex-264,bankniftywolf,2026-08-03T14:35:35.367258+00:00,"Sold TATAMOTORS today, downside looks likely given weak breadth. #sensex @aparna.invests !!","Sold TATAMOTORS today, downside looks likely given weak breadth. #sensex @aparna.invests !!",['aparna'],['sensex'],[],810,743,144,2440,synthetic,sensex,2026-08-04T09:47:55.932280+00:00
synthetic-nifty50-68,aparna.invests,2026-08-03T15:13:39.350813+00:00,"Lower circuit hit in INFY, panic selling visible. #nifty50 #sensex","Lower circuit hit in INFY, panic selling visible. #nifty50 #sensex",[],['nifty50' 'sensex'],[],3810,453,135,4851,synthetic,nifty50,2026-08-04T09:47:55.928586+00:00
synthetic-nifty50-85,chartguru_cs,2026-08-03T11:03:46.010904+00:00,"Bought INFY on the dip, expecting upper circuit tomorrow. #nifty50 @options_ojasvi","Bought INFY on the dip, expecting upper circuit tomorrow. #nifty50 @options_ojasvi",['options_ojasvi'],['nifty50'],[],2680,837,190,4544,synthetic,nifty50,2026-08-04T09:47:55.928947+00:00
synthetic-banknifty-432,niftybull_99,2026-08-03T18:14:29.524212+00:00,Anyone tracking RELIANCE today? Volumes look average. #banknifty,Anyone tracking RELIANCE today? Volumes look average. #banknifty,[],['banknifty'],[],306,1141,66,2654,synthetic,banknifty,2026-08-04T09:47:55.935305+00:00
synthetic-banknifty-532,punediscussions,2026-08-03T11:07:41.118481+00:00,"Watching HDFCBANK closely ahead of results, no clear direction yet. #banknifty !!","Watching HDFCBANK closely ahead of results, no clear direction yet. #banknifty !!",[],['banknifty'],[],191,32,117,372,synthetic,banknifty,2026-08-04T09:47:55.937100+00:00
